  0.1080   0.3250  -0.0022  -0.6380   1.6446
  0.1090   0.2987  -0.0312  -0.6771   1.6055
  0.1100   0.2722  -0.0601  -0.7153   1.5673
  0.1110   0.2455  -0.0890  -0.7526   1.5300
  0.1120   0.2187  -0.1179  -0.7889   1.4937
  0.1130   0.1917  -0.1466  -0.8243   1.4583
  0.1140   0.1645  -0.1753  -0.8588   1.4238
  0.1150   0.1373  -0.2038  -0.8922   1.3904
  0.1160   0.1099  -0.2322  -0.9246   1.3580
  0.1170   0.0825  -0.2605  -0.9560   1.3266
  0.1180   0.0550  -0.2885  -0.9863   1.2963
  0.1190   0.0275  -0.3164  -1.0155   1.2671
